ons_id,name,turnout,registered_voters,turnout_change,total_votes,win_margin,1st_place_party,1st_place_candidate,1st_place_votes,2nd_place_party,2nd_place_candidate,2nd_place_votes,3rd_place_party,3rd_place_candidate,3rd_place_votes,4th_place_party,4th_place_candidate,4th_place_votes,5th_place_party,5th_place_candidate,5th_place_votes,6th_place_party,6th_place_candidate,6th_place_votes,7th_place_party,7th_place_candidate,7th_place_votes,8th_place_party,8th_place_candidate,8th_place_votes,9th_place_party,9th_place_candidate,9th_place_votes,10th_place_party,10th_place_candidate,10th_place_votes,11th_place_party,11th_place_candidate,11th_place_votes,12th_place_party,12th_place_candidate,12th_place_votes,13th_place_party,13th_place_candidate,13th_place_votes
E14001514,Staffordshire Moorlands,62.0,69892,-5.3,43302,1175,Conservative,Karen Bradley,15310,Labour,Alastair Watson,14135,Reform UK,Dave Poole,10065,Green,Helen Stead,2293,Liberal Democrat,Graham Oakes,1499,,,,,,,,,,,,,,,,,,,,,,,,
E14001515,Stalybridge and Hyde,52.0,72265,-6.5,34945,8539,Labour,Jonathan Reynolds,16320,Reform UK,Barbara Kaya,7781,Conservative,Phil Chadwick,6872,Green,Robert Hodgetts-Haley,2745,Workers Party of Britain,Audel Shirin,1227,Independent,Ian Owen,1214.0,Liberal Democrat,Kamala Kugan,1080.0,,,,,,,,,,,,,,,,,,
E14001516,Stevenage,61.0,70086,-6.9,42567,6618,Labour,Kevin Bonavia,17698,Conservative,Alex Clarkson,11080,Reform UK,Peter Hopper,7667,Liberal Democrat,Lisa Nash,3467,Green,Paul Dawson,2655,Christian Peoples Alliance,Joshua Smith,148.0,,,,,,,,,,,,,,,,,,,,,
S14000105,Stirling and Strathallan,65.0,76284,-9.8,47462,1394,Labour,Chris Kane,16856,Scottish National Party,Alyn Smith,15462,Conservative,Neil Benny,9469,Reform UK,Bill McDonald,3145,Liberal Democrat,Hamish Taylor,2530,Green,Andrew Adam,2320.0,,,,,,,,,,,,,,,,,,,,,
E14001517,Stockport,57.0,76625,-4.5,41860,15270,Labour,Navendu Mishra,21787,Reform UK,Lynn Schofield,6517,Conservative,Oliver Johnstone,4967,Green,Helena Mellish,4865,Liberal Democrat,Wendy Meikle,3724,Workers Party of Britain,Ayesha Khan,1630.0,Stockport Fights Austerity No to Cuts,Ashley Walker,193.0,,,,,,,,,,,,,,,,,,
E14001518,Stockton North,53.0,70242,-8.6,37401,7939,Labour,Chris McDonald,17128,Reform UK,John McDermottroe,9189,Conservative,Niall Innes,8028,Green,Sam Bradford,1923,Liberal Democrat,Jo Barton,1133,,,,,,,,,,,,,,,,,,,,,,,,
E14001519,Stockton West,70.0,69664,-4.4,48118,2139,Conservative,Matt Vickers,20372,Labour,Joe Dancey,18233,Reform UK,Steve Matthews,6833,Green,Anna-Maria Toms,1477,Liberal Democrat,Nigel Boddy,1203,Independent,Mohammed Zaroof,263.0,Independent,Vivek Chhabra,106.0,Independent,Niko Omilana,106.0,Independents for Direct Democracy,Monty Brack,45.0,,,,,,,,,,,,
E14001520,Stoke-on-Trent Central,48.0,73693,-9.7,33696,6409,Labour,Gareth Snell,14950,Reform UK,Luke Shenton,8541,Conservative,Chandra Kanneganti,6221,Independent,Navid Kaleem,2281,Green,Adam Colclough,1703,Liberal Democrat,Laura McCarthy,999.0,Independent,Andy Polshaw,315.0,Independent,AliRom Alirom,279.0,,,,,,,,,,,,,,,
E14001521,Stoke-on-Trent North,52.0,69790,-8.1,35239,5082,Labour,David Williams,14579,Conservative,Jonathan Gullis,9497,Reform UK,Karl Beresford,8824,Green,Josh Harris,1236,Independent,Jag Boyapati,1103,Liberal Democrat,Lucy Hurds,911.0,,,,,,,,,,,,,,,,,,,,,
E14001522,Stoke-on-Trent South,60.0,68263,-7.0,39615,627,Labour,Allison Gardner,14221,Conservative,Jack Brereton,13594,Reform UK,Michael Bailey,8851,Liberal Democrat,Alec Sandiford,1577,Independent,Asif Mehmood,1372,Green,Peggy Wiseman,1207.0,Independent,Carla Parrish,120.0,,,,,,,,,,,,,,,,,,
E14001523,"Stone, Great Wyrley and Penkridge",60.0,71570,-6.3,42120,5466,Conservative,Gavin Williamson,19880,Labour,Jacqueline Brown,14414,Liberal Democrat,Sam Harper-Wallis,2952,UK Independence Party,Janice MacKay,2638,Green,Danni Braine,2236,Social Democratic Party,Alexander Bramham,650.0,,,,,,,,,,,,,,,,,,,,,
E14001524,Stourbridge,58.0,68310,-7.9,38811,3073,Labour,Cat Eccles,15338,Conservative,Suzanne Webb,12265,Reform UK,Richard Shaw,7869,Green,Stephen Price,1732,Liberal Democrat,Chris Bramall,1607,Workers Party of Britain,Mohammed Ramzan,1067.0,,,,,,,,,,,,,,,,,,,,,
N05000016,Strangford,52.0,74525,-4.6,35864,5131,Democratic Unionist Party,Jim Shannon,15559,Alliance Party,Michelle Guy,10428,Ulster Unionist Party ,Richard Smart,3941,Traditional Unionist Voice,Ron McDowell,3143,Sinn Fein,Noel Sands,2793,Social Democratic & Labour Party,Will Polland,1783.0,Green,Alexandra Braidner,703.0,Independent,Garreth Falls,256.0,Independent,Gareth Burns,157.0,Conservative,Barry Hetherington,146.0,,,,,,,,,
E14001525,Stratford and Bow,54.0,80560,-10.3,35424,11634,Labour,Uma Kumaran,19145,Green,Joe Hudson-Small,7511,Workers Party of Britain,Halima Khan,3274,Conservative,Kane Blackwell,3114,Independent,Nizam Ali,2380,Reform UK,Jeff Evans,2093.0,Liberal Democrat,Janey Little,1926.0,Independent,Omar Faruk,1826.0,Independent,Fiona Lali,1791.0,Independent,Steve Hedley,375.0,,,,,,,,,
E14001526,Stratford-on-Avon,70.0,75725,-4.1,52481,7122,Liberal Democrat,Manuela Perteghella,23450,Conservative,Chris Clarkson,16328,Reform UK,James Crocker,7753,Labour,Seyi Agboola,3753,Green,Doug Rouxel,1197,Independent,Kevin Taylor,292.0,New Open Non-Political Organised Leadership,Neil O'Neil,166.0,,,,,,,,,,,,,,,,,,
E14001527,Streatham and Croydon North,58.0,76966,-9.6,43214,15603,Labour,Steve Reed,23232,Green,Scott Ainslie,7629,Conservative,Anthony Boutall,5328,Liberal Democrat,Claire Bonham,5031,Reform UK,Philip Watson,1994,Workers Party of Britain,Waseem Sherwani,910.0,Christian Peoples Alliance,Magdaline Nzekwue,290.0,Social Democratic Party,Myles Owen,139.0,,,,,,,,,,,,,,,
E14001528,Stretford and Urmston,61.0,75152,-7.2,43478,16150,Labour,Andrew Western,22642,Conservative,Mark Cornes,6492,Reform UK,Charlotte Faulkner,5485,Workers Party of Britain,Khalila Chaudry,4461,Green,Dan Jerrome,4398,Liberal Democrat,Mark Clayton,2216.0,Rejoin EU,Jim Newell,308.0,,,,,,,,,,,,,,,,,,
